alpha,run_id,peak_infections,peak_time,success
1,0,2259,48.0,1
1,1,2062,40.5,1
1,2,2027,47.5,1
1,3,2114,41.5,1
1,4,2212,40.5,1
1,5,2148,40.5,1
1,6,2049,42.5,1
1,7,2120,38.0,1
1,8,2059,37.5,1
1,9,2143,39.5,1
1,10,2045,42.0,1
1,11,2245,41.0,1
1,12,2179,48.0,1
1,13,2053,39.0,1
1,14,2165,44.0,1
1,15,2106,41.5,1
1,16,2096,43.5,1
1,17,2165,43.5,1
1,18,2119,38.0,1
1,19,2067,40.5,1
1,20,2120,45.0,1
1,21,2152,37.5,1
1,22,2350,50.5,1
1,23,2057,43.5,1
1,24,2058,53.0,1
1,25,2108,38.5,1
1,26,2082,38.0,1
1,27,2145,39.5,1
1,28,2137,40.5,1
1,29,2014,41.0,1
1,30,2175,43.0,1
1,31,2260,48.0,1
1,32,2163,43.0,1
1,33,2077,36.5,1
1,34,2166,45.0,1
1,35,2046,38.5,1
1,36,2225,45.0,1
1,37,2146,42.5,1
1,38,2100,35.0,1
1,39,2137,38.0,1
1,40,2191,52.5,1
1,41,2194,48.0,1
1,42,2145,39.5,1
1,43,2170,49.5,1
1,44,2135,37.0,1
1,45,2063,42.0,1
1,46,2155,39.0,1
1,47,2148,40.0,1
1,48,2139,37.5,1
1,49,2097,37.5,1
1,50,2201,47.5,1
1,51,2131,45.0,1
1,52,2144,34.0,1
1,53,2212,48.5,1
1,54,2129,37.5,1
1,55,2122,42.0,1
1,56,2049,38.5,1
1,57,2156,44.0,1
1,58,2211,40.5,1
1,59,2144,39.5,1
1,60,2165,39.0,1
1,61,2170,37.0,1
1,62,2115,34.0,1
1,63,2131,39.5,1
1,64,2001,42.5,1
1,65,2037,33.0,1
1,66,2157,40.5,1
1,67,2127,42.5,1
1,68,2053,41.0,1
1,69,2182,40.0,1
1,70,2124,38.0,1
1,71,2114,44.0,1
1,72,2141,40.0,1
1,73,2160,39.0,1
1,74,2130,38.5,1
1,75,2036,44.5,1
1,76,2194,37.0,1
1,77,2127,45.0,1
1,78,2158,53.5,1
1,79,2075,38.5,1
1,80,2153,40.0,1
1,81,2086,41.5,1
1,82,2114,40.5,1
1,83,2191,38.0,1
1,84,2162,39.5,1
1,85,2032,39.0,1
1,86,2124,39.0,1
1,87,2066,39.0,1
1,88,2197,37.5,1
1,89,2127,43.0,1
1,90,2218,38.5,1
1,91,2186,40.5,1
1,92,2152,40.5,1
1,93,2159,44.5,1
1,94,2223,39.5,1
1,95,2092,40.0,1
1,96,2153,43.0,1
1,97,2172,49.5,1
1,98,2136,44.5,1
1,99,2077,39.0,1
2,0,2182,38.5,1
2,1,2270,48.5,1
2,2,2226,38.5,1
2,3,2258,40.0,1
2,4,2200,39.5,1
2,5,2162,43.5,1
2,6,2259,44.5,1
2,7,2155,44.5,1
2,8,2187,42.5,1
2,9,2294,50.0,1
2,10,2113,38.0,1
2,11,2229,38.0,1
2,12,2293,42.5,1
2,13,2222,43.5,1
2,14,2185,42.0,1
2,15,2191,45.0,1
2,16,2067,38.0,1
2,17,2137,46.0,1
2,18,2173,44.5,1
2,19,2168,38.5,1
2,20,2226,39.0,1
2,21,2141,36.5,1
2,22,2202,40.5,1
2,23,2215,38.5,1
2,24,2097,41.5,1
2,25,2167,38.0,1
2,26,2205,41.5,1
2,27,2124,37.0,1
2,28,2122,45.0,1
2,29,2208,44.0,1
2,30,2079,46.5,1
2,31,2123,38.5,1
2,32,2125,37.0,1
2,33,2211,49.0,1
2,34,2118,46.0,1
2,35,2148,49.0,1
2,36,2172,41.0,1
2,37,2265,41.0,1
2,38,2203,36.5,1
2,39,2198,36.5,1
2,40,2141,37.0,1
2,41,2105,43.0,1
2,42,2158,35.5,1
2,43,2325,49.5,1
2,44,2130,38.5,1
2,45,2157,37.5,1
2,46,2120,40.0,1
2,47,2174,43.0,1
2,48,2149,41.0,1
2,49,2116,44.0,1
2,50,2175,35.0,1
2,51,2246,38.5,1
2,52,2223,37.0,1
2,53,2124,39.0,1
2,54,2211,43.0,1
2,55,2214,40.0,1
2,56,2094,36.0,1
2,57,2144,37.5,1
2,58,2231,43.0,1
2,59,2248,38.5,1
2,60,2172,39.0,1
2,61,2080,38.0,1
2,62,2141,37.0,1
2,63,2220,44.0,1
2,64,2123,37.5,1
2,65,2238,48.0,1
2,66,2008,37.5,1
2,67,2215,38.0,1
2,68,2031,40.0,1
2,69,2111,40.5,1
2,70,2178,42.0,1
2,71,2248,38.0,1
2,72,2141,40.0,1
2,73,2212,41.5,1
2,74,2074,41.0,1
2,75,2175,38.0,1
2,76,2048,41.0,1
2,77,2133,40.5,1
2,78,2094,44.5,1
2,79,2032,41.0,1
2,80,2277,45.5,1
2,81,2307,39.5,1
2,82,2237,39.0,1
2,83,2225,48.5,1
2,84,2223,41.5,1
2,85,2019,42.0,1
2,86,2179,35.0,1
2,87,2179,35.0,1
2,88,2222,36.5,1
2,89,2213,35.5,1
2,90,2085,45.5,1
2,91,2150,43.0,1
2,92,2122,50.5,1
2,93,2158,43.0,1
2,94,2183,38.0,1
2,95,2223,45.5,1
2,96,2177,38.0,1
2,97,2124,36.5,1
2,98,2181,44.0,1
2,99,2100,39.5,1
3,0,2240,34.0,1
3,1,2167,36.5,1
3,2,2157,45.5,1
3,3,2166,42.5,1
3,4,2226,40.5,1
3,5,2210,39.5,1
3,6,2193,39.5,1
3,7,2188,44.5,1
3,8,2136,41.5,1
3,9,2231,45.5,1
3,10,2173,42.0,1
3,11,2152,39.0,1
3,12,2098,37.5,1
3,13,2160,45.0,1
3,14,2200,43.5,1
3,15,2037,45.0,1
3,16,2156,38.5,1
3,17,2087,37.0,1
3,18,2220,37.0,1
3,19,2326,42.0,1
3,20,2094,37.5,1
3,21,2236,38.5,1
3,22,2081,45.5,1
3,23,2076,37.0,1
3,24,2163,43.0,1
3,25,2171,39.5,1
3,26,2259,38.0,1
3,27,2171,36.0,1
3,28,2209,44.0,1
3,29,2275,46.0,1
3,30,2094,35.0,1
3,31,2261,40.0,1
3,32,2194,51.0,1
3,33,2207,48.0,1
3,34,2172,46.0,1
3,35,2387,43.0,1
3,36,2157,41.5,1
3,37,2137,36.0,1
3,38,2066,39.0,1
3,39,2201,44.0,1
3,40,2179,44.0,1
3,41,2072,40.0,1
3,42,2076,35.5,1
3,43,2189,38.5,1
3,44,2229,40.0,1
3,45,2200,41.0,1
3,46,2120,35.0,1
3,47,2178,41.5,1
3,48,2111,40.5,1
3,49,2106,50.0,1
3,50,2255,38.5,1
3,51,2225,38.0,1
3,52,2271,45.0,1
3,53,2182,46.5,1
3,54,2115,39.0,1
3,55,2196,44.5,1
3,56,2122,44.5,1
3,57,2097,40.0,1
3,58,2198,39.5,1
3,59,2150,39.0,1
3,60,2230,36.5,1
3,61,2238,38.5,1
3,62,2312,44.5,1
3,63,2162,34.5,1
3,64,2136,35.0,1
3,65,2163,40.5,1
3,66,2182,37.5,1
3,67,2148,38.0,1
3,68,2232,40.0,1
3,69,2114,35.0,1
3,70,2114,39.0,1
3,71,2176,42.5,1
3,72,2090,37.5,1
3,73,2202,46.5,1
3,74,2245,38.0,1
3,75,2200,45.0,1
3,76,2113,36.0,1
3,77,2190,40.0,1
3,78,2091,46.5,1
3,79,2150,37.0,1
3,80,2179,44.0,1
3,81,2144,37.5,1
3,82,2141,35.5,1
3,83,2232,40.5,1
3,84,2183,36.0,1
3,85,2058,34.0,1
3,86,2200,35.5,1
3,87,2222,41.0,1
3,88,2111,38.0,1
3,89,2185,39.0,1
3,90,2215,39.0,1
3,91,2310,46.0,1
3,92,2159,39.5,1
3,93,2252,38.5,1
3,94,2243,45.0,1
3,95,2068,39.0,1
3,96,2188,36.5,1
3,97,2139,38.0,1
3,98,2082,42.0,1
3,99,2131,37.0,1
4,0,2186,39.0,1
4,1,2205,35.0,1
4,2,2128,38.0,1
4,3,2234,42.0,1
4,4,2241,41.0,1
4,5,2139,42.5,1
4,6,2122,39.0,1
4,7,2177,45.0,1
4,8,2044,40.5,1
4,9,2111,35.0,1
4,10,2178,46.5,1
4,11,2204,43.5,1
4,12,2101,35.0,1
4,13,2310,39.0,1
4,14,2320,36.5,1
4,15,2179,43.5,1
4,16,2229,39.0,1
4,17,2165,35.5,1
4,18,2300,38.0,1
4,19,2206,32.0,1
4,20,2176,46.5,1
4,21,2202,41.0,1
4,22,2114,40.0,1
4,23,2187,36.0,1
4,24,2164,38.5,1
4,25,2259,42.5,1
4,26,2210,38.0,1
4,27,2131,40.5,1
4,28,2109,48.5,1
4,29,2173,34.5,1
4,30,2312,42.0,1
4,31,2214,37.0,1
4,32,2186,35.0,1
4,33,2251,39.0,1
4,34,2150,36.0,1
4,35,2165,44.5,1
4,36,2172,40.0,1
4,37,2052,42.5,1
4,38,2226,36.5,1
4,39,2201,36.5,1
4,40,2227,35.5,1
4,41,2257,36.5,1
4,42,2226,39.0,1
4,43,2252,37.5,1
4,44,2192,48.5,1
4,45,2219,44.0,1
4,46,2137,46.0,1
4,47,2050,45.0,1
4,48,2106,35.0,1
4,49,2226,43.5,1
4,50,2266,40.0,1
4,51,2225,39.0,1
4,52,2224,40.5,1
4,53,2248,39.0,1
4,54,2145,36.5,1
4,55,2123,36.5,1
4,56,2237,43.0,1
4,57,2131,39.0,1
4,58,2100,36.5,1
4,59,2241,33.0,1
4,60,2237,36.0,1
4,61,2162,42.0,1
4,62,2176,43.5,1
4,63,2263,45.5,1
4,64,2235,40.0,1
4,65,2189,45.5,1
4,66,2255,48.5,1
4,67,2185,41.0,1
4,68,2239,36.5,1
4,69,2251,38.0,1
4,70,2223,37.5,1
4,71,2226,34.0,1
4,72,2207,41.5,1
4,73,2248,38.0,1
4,74,2279,35.5,1
4,75,2114,41.0,1
4,76,2075,40.5,1
4,77,2148,36.5,1
4,78,2150,36.5,1
4,79,2137,36.5,1
4,80,2100,42.5,1
4,81,2234,38.5,1
4,82,2180,37.5,1
4,83,2262,38.0,1
4,84,2143,38.0,1
4,85,2115,38.0,1
